[2023-08-04 19:30:37,079] - Loading Bot. Done in (0.01186)
[2023-08-04 19:31:07,424] - Loading Bot. Done in (0.02293)
[2023-08-04 19:32:59,008] - Loading Bot. Done in (0.01601)
[2023-08-04 19:44:45,585] - Loading Bot. Done in (0.01257)
[2023-08-04 19:44:45,593] - Loading Merbs. Done in 0.00724 seconds
[2023-08-04 19:44:45,600] - Loading Help. Done in 0.00743 seconds
[2023-08-04 19:45:32,088] - Loading Bot. Done in (0.02403)
[2023-08-04 19:45:32,096] - Loading Merbs. Done in 0.00738 seconds
[2023-08-04 19:45:32,097] - Loading Help. Done in 0.00084 seconds
[2023-08-04 19:45:32,097] - Loading Watcher. Done in 7e-05 seconds
[2023-08-04 19:45:32,097] - Loading IO. Done in 0.00015 seconds
[2023-08-04 19:45:34,634] - Sirken Bot is online and connected to Discord
[2023-08-04 19:45:34,634] - Loading Discord Roles. Done in 0.00023 seconds
[2023-08-04 20:11:59,308] - Loading Bot. Done in (0.01239)
[2023-08-04 20:11:59,317] - Loading Merbs. Done in 0.00664 seconds
[2023-08-04 20:11:59,317] - Loading Help. Done in 0.00061 seconds
[2023-08-04 20:11:59,317] - Loading Watcher. Done in 6e-05 seconds
[2023-08-04 20:11:59,317] - Loading IO. Done in 0.00012 seconds
[2023-08-04 20:12:01,892] - Sirken Bot is online and connected to Discord
[2023-08-04 20:12:01,892] - Loading Discord Roles. Done in 0.00025 seconds
[2023-08-04 20:18:12,160] - Loading Bot. Done in (0.01924)
[2023-08-04 20:18:12,167] - Loading Merbs. Done in 0.00681 seconds
[2023-08-04 20:18:12,168] - Loading Help. Done in 0.00066 seconds
[2023-08-04 20:18:12,168] - Loading Watcher. Done in 5e-05 seconds
[2023-08-04 20:18:12,168] - Loading IO. Done in 0.00011 seconds
[2023-08-04 20:18:14,589] - Sirken Bot is online and connected to Discord
[2023-08-04 20:18:14,589] - Loading Discord Roles. Done in 0.00025 seconds
[2023-08-04 20:18:42,879] - Loading Bot. Done in (0.02197)
[2023-08-04 20:18:42,886] - Loading Merbs. Done in 0.00667 seconds
[2023-08-04 20:18:42,886] - Loading Help. Done in 0.00065 seconds
[2023-08-04 20:18:42,887] - Loading Watcher. Done in 0.00012 seconds
[2023-08-04 20:18:42,887] - Loading IO. Done in 0.00023 seconds
[2023-08-04 20:18:45,587] - Sirken Bot is online and connected to Discord
[2023-08-04 20:18:45,587] - Loading Discord Roles. Done in 0.00023 seconds
[2023-08-04 20:19:12,297] - Loading Bot. Done in (0.01323)
[2023-08-04 20:19:12,304] - Loading Merbs. Done in 0.00712 seconds
[2023-08-04 20:19:12,305] - Loading Help. Done in 0.00063 seconds
[2023-08-04 20:19:12,305] - Loading Watcher. Done in 5e-05 seconds
[2023-08-04 20:19:12,305] - Loading IO. Done in 0.00011 seconds
[2023-08-04 20:19:14,845] - Sirken Bot is online and connected to Discord
[2023-08-04 20:19:14,845] - Loading Discord Roles. Done in 0.00024 seconds
[2023-08-04 20:19:14,862] - Loading Discord Users. Done in 0.0164 seconds
[2023-08-04 20:30:09,067] - Loading Bot. Done in (0.01143)
[2023-08-04 20:30:09,074] - Loading Merbs. Done in 0.00644 seconds
[2023-08-04 20:30:09,074] - Loading Help. Done in 0.00058 seconds
[2023-08-04 20:30:09,075] - Loading Watcher. Done in 6e-05 seconds
[2023-08-04 20:30:09,075] - Loading IO. Done in 0.00012 seconds
[2023-08-04 20:30:11,586] - Sirken Bot is online and connected to Discord
[2023-08-04 20:30:11,586] - Loading Discord Roles. Done in 0.00033 seconds
[2023-08-04 20:30:11,602] - Loading Discord Users. Done in 0.0159 seconds
[2023-08-04 20:38:13,492] - Loading Bot. Done in (0.01269)
[2023-08-04 20:38:13,499] - Loading Merbs. Done in 0.00657 seconds
[2023-08-04 20:38:13,500] - Loading Help. Done in 0.00064 seconds
[2023-08-04 20:38:13,500] - Loading Watcher. Done in 5e-05 seconds
[2023-08-04 20:38:13,500] - Loading IO. Done in 0.00011 seconds
[2023-08-04 20:38:15,964] - Sirken Bot is online and connected to Discord
[2023-08-04 20:38:15,965] - Loading Discord Roles. Done in 0.00034 seconds
[2023-08-04 20:38:15,982] - Loading Discord Users. Done in 0.01619 seconds
[2023-08-04 20:39:19,604] - Loading Bot. Done in (0.0138)
[2023-08-04 20:39:19,612] - Loading Merbs. Done in 0.0071 seconds
[2023-08-04 20:39:19,612] - Loading Help. Done in 0.00065 seconds
[2023-08-04 20:39:19,613] - Loading Watcher. Done in 6e-05 seconds
[2023-08-04 20:39:19,613] - Loading IO. Done in 0.00014 seconds
[2023-08-04 20:39:22,058] - Sirken Bot is online and connected to Discord
[2023-08-04 20:39:22,058] - Loading Discord Roles. Done in 0.00025 seconds
[2023-08-04 20:39:22,075] - Loading Discord Users. Done in 0.01618 seconds
[2023-08-04 20:41:10,500] - Loading Bot. Done in (0.01202)
[2023-08-04 20:41:10,507] - Loading Merbs. Done in 0.0065 seconds
[2023-08-04 20:41:10,508] - Loading Help. Done in 0.00061 seconds
[2023-08-04 20:41:10,508] - Loading Watcher. Done in 5e-05 seconds
[2023-08-04 20:41:10,508] - Loading IO. Done in 0.00011 seconds
[2023-08-04 20:41:13,169] - Sirken Bot is online and connected to Discord
[2023-08-04 20:41:13,170] - Loading Discord Roles. Done in 0.00023 seconds
[2023-08-04 20:41:13,185] - Loading Discord Users. Done in 0.01555 seconds
[2023-08-04 20:46:17,500] - Loading Bot. Done in (0.01115)
[2023-08-04 20:46:17,506] - Loading Merbs. Done in 0.00566 seconds
[2023-08-04 20:46:17,507] - Loading Help. Done in 0.00058 seconds
[2023-08-04 20:46:17,507] - Loading Watcher. Done in 5e-05 seconds
[2023-08-04 20:46:17,507] - Loading IO. Done in 0.00012 seconds
[2023-08-04 20:46:20,048] - Sirken Bot is online and connected to Discord
[2023-08-04 20:46:20,048] - Loading Discord Roles. Done in 0.00024 seconds
[2023-08-04 20:46:20,064] - Loading Discord Users. Done in 0.01592 seconds
[2023-08-04 20:49:03,178] - Loading Bot. Done in (0.02202)
[2023-08-04 20:49:03,185] - Loading Merbs. Done in 0.00692 seconds
[2023-08-04 20:49:03,186] - Loading Help. Done in 0.00076 seconds
[2023-08-04 20:49:03,186] - Loading Watcher. Done in 6e-05 seconds
[2023-08-04 20:49:03,186] - Loading IO. Done in 0.00014 seconds
[2023-08-04 20:49:05,761] - Sirken Bot is online and connected to Discord
[2023-08-04 20:49:05,761] - Loading Discord Roles. Done in 0.00025 seconds
[2023-08-04 20:49:05,778] - Loading Discord Users. Done in 0.01643 seconds
